date,ticker,company,price,change_pct,volume,notes
2026-07-30,AACB,Artius II Acquisition Inc,10.55,0.19,131,
2026-07-30,AAMI,Acadian Asset Management Inc,85.33,5.56,86505,
2026-07-30,AAPB,GraniteShares 2x Long AAPL Daily ETF,43.83,-4.15,61607,ETF
2026-07-30,AAPL,Apple Inc,330.8,-2.19,13829837,
2026-07-30,AAPU,Direxion Daily AAPL Bull 2X ETF,45.08,-4.37,673590,ETF
2026-07-30,AAPX,T-Rex 2X Long Apple Daily Target ETF,40.67,-4.11,18167,ETF
2026-07-30,AAPY,Kurv Yield Premium Strategy Apple ETF,27.92,-2.34,1806,ETF
2026-07-30,ABEQ,Absolute Select Value ETF,38.42,-0.37,1962,ETF
2026-07-30,ACVA,ACV Auctions Inc,7.6,-5.82,309585,
2026-07-30,ACWV,iShares MSCI Global Min Vol Factor ETF,124.22,-0.57,12114,ETF
2026-07-30,ADAC,American Drive Acquisition Co,10.08,-0.1,169,
2026-07-30,ALIS,Calisa Acquisition Corp,10.17,0.0,322,
2026-07-30,ALUB,Alussa Energy Acquisition Corp II,10.1,0.0,6,
2026-07-30,AMAL,Amalgamated Financial Corp,49.31,0.12,7612,
2026-07-30,AMBP,Ardagh Metal Packaging SA,4.85,-2.24,374237,
2026-07-30,AMG,Affiliated Managers Group Inc,368.23,2.27,42274,
2026-07-30,AMGN,AMGEN Inc,379.04,-2.22,431192,
2026-07-30,ANIK,Anika Therapeutics Inc,17.44,7.88,25412,
2026-07-30,ANSC,Agriculture and Natural Solutions Acquisition Corp,11.46,-0.27,13,
2026-07-30,ANTX,AN2 Therapeutics Inc,5.22,3.98,31317,
