date,ticker,company,entry_price,change_pct_at_entry,volume,notes
2026-07-30,AIBZ,Bitzero Holdings Inc,6.1,14.45,235315,
2026-07-30,BOOM,DMC Global Inc,6.51,20.12,536303,
2026-07-30,BRUN,Boost Run Inc,18.85,20.52,868042,
2026-07-30,CMCO,Columbus Mckinnon Corp,20.3,38.85,725968,
2026-07-30,DFNS,T3 Defense Inc,77.35,54.03,3991992,
2026-07-30,EME,Emcor Group Inc,804.0,19.56,193195,
2026-07-30,FIX,Comfort Systems USA Inc,1695.69,11.56,203309,
2026-07-30,HII,Huntington Ingalls Industries Inc,302.31,7.81,321091,
2026-07-30,HIPO,Hippo Holdings Inc,33.01,10.65,78066,
2026-07-30,IDCC,Interdigital Inc,292.81,12.13,163963,
2026-07-30,MCS,Marcus Corp,27.52,10.26,133791,
2026-07-30,MKTX,MarketAxess Holdings Inc,163.04,29.68,3369541,
2026-07-30,MYRG,MYR Group Inc,344.61,7.0,190328,
2026-07-30,NEU,NewMarket Corp,858.04,8.94,51954,
2026-07-30,NKLR,Terra Innovatum Global NV,5.47,11.86,157287,
2026-07-30,NVMI,Nova Ltd,398.62,8.64,211288,
2026-07-30,PI,Impinj Inc,142.09,2.0,366875,
2026-07-30,PN,PN Smart Energy Ltd,16.46,53.55,5060699,
2026-07-30,QMCO,Quantum Corp,10.97,4.93,495904,
2026-07-30,QUAD,Quad/Graphics Inc,9.54,2.69,153543,
2026-07-31,FCUV,Focus Universal Inc,11.16,493.62,46242658,
