date,ticker,company,price,change_pct,volume,notes
2026-07-30,ACV,Virtus Diversified Income and Convertible Fund,26.7,2.48,18421,ETF
2026-07-30,ADXN,Addex Therapeutics Ltd ADR,5.75,2.68,2380,
2026-07-30,APAC,StoneBridge Acquisition II Corp,10.19,0.1,50006,
2026-07-30,APUS,Apimeds Pharmaceuticals US Inc,6.88,19.57,47109,
2026-07-30,BOOM,DMC Global Inc,6.56,21.03,536403,
2026-07-30,BSVN,Bank7 Corp,50.6,0.56,15872,
2026-07-30,CCEL,Cryo-Cell International Inc,3.6,6.82,14561,
2026-07-30,CEPO,Cantor Equity Partners I Inc,10.67,0.09,62067,
2026-07-30,CGO,Calamos Global Total Return Fund,12.58,3.62,18821,ETF
2026-07-30,CYCU,Cycurion Inc,0.48,78.16,156219183,
2026-07-30,CZFS,Citizens Financial Services Inc,78.75,1.92,9881,
2026-07-30,DCX,Digital Currency X Technology Inc,1.26,16.67,5111999,
2026-07-30,DFNS,T3 Defense Inc,82.01,63.3,4085897,
2026-07-30,DGNX,Diginex Ltd,1.78,14.77,5245443,
2026-07-30,DMA,Destra Multi-Alternative Fund,7.75,2.69,16924,ETF
2026-07-30,FIEE,FiEE Inc,3.24,1.25,223515,
2026-07-30,GCTK,GlucoTrack Inc,0.36,26.56,52236490,
2026-07-30,GNLN,Greenlane Holdings Inc,1.71,1.79,27164,
2026-07-30,GVH,Globavend Holdings Ltd,1.11,21.98,2679608,
2026-07-30,HIFS,Hingham Institution For Savings,287.09,1.07,35804,
