date,ticker,company,entry_price,change_pct_at_entry,volume,notes
2026-07-30,AAL,American Airlines Group Inc,15.16,2.19,5687459,
2026-07-30,AAOG,Leverage Shares 2X Long AAOI Daily ETF,2.11,34.08,1160228,ETF
2026-07-30,AAOI,Applied Optoelectronics Inc,89.83,17.39,3657661,
2026-07-30,AAOX,Tradr 2X Long AAOI Daily ETF,9.5,35.52,4020676,ETF
2026-07-30,ABCL,AbCellera Biologics Inc,5.45,1.21,1294481,
2026-07-30,ACHR,Archer Aviation Inc,4.65,3.8,4575152,
2026-07-30,ACI,Albertsons Companies Inc,11.67,-3.24,1409657,
2026-07-30,ACN,Accenture plc,160.36,-7.4,2237129,
2026-07-30,ADBE,Adobe Inc,242.8,-7.83,2270399,
2026-07-30,ADBG,Leverage Shares 2X Long ADBE Daily ETF,4.02,-15.9,2232084,ETF
2026-07-30,ADPT,Adaptive Biotechnologies Corp,23.34,3.46,1218873,
2026-07-30,AGIO,Agios Pharmaceuticals Inc,31.77,-9.26,1236278,
2026-07-30,ALAB,Astera Labs Inc,289.85,16.06,1206673,
2026-07-30,ALGM,Allegro Microsystems Inc,40.93,-3.03,1074316,
2026-07-30,ALLO,Allogene Therapeutics Inc,1.9,5.25,1624887,
2026-07-30,ALM,Almonty Industries Inc,11.32,3.42,1901329,
2026-07-30,ALOY,REalloys Inc,8.33,11.28,1244856,
2026-07-30,AMAT,Applied Materials Inc,507.39,16.26,3541732,
2026-07-30,AMC,AMC Entertainment Holdings Inc,2.69,-2.19,9890138,
2026-07-30,AMD,Advanced Micro Devices Inc,497.63,15.85,12183851,
2026-07-31,FCUV,Focus Universal Inc,11.16,493.62,46242658,
2026-07-31,WETO,Wetour Robotics Limited,0.13,333.33,1105291593,
2026-07-31,MGRX,Mangoceuticals Inc,1.05,257.63,309296361,
2026-07-31,CIGL,Concorde International Group,0.979,113.09,24447804,
2026-07-31,REPL,Replimune Group Inc,9.5,75.6,13658749,
2026-07-31,ZBAO,Zhibao Technology Inc,0.25,44.87,189415966,
2026-07-31,TGHL,The Growhub Limited,1.04,41.34,5103996,
2026-07-31,LBGJ,Li Bang International Corp,0.0242,34.44,789895498,
2026-07-31,RYDE,Ryde Group Ltd,0.72,32.32,1433746,
2026-07-31,AXTI,AXT Inc,59.64,27.06,13595435,
2026-07-31,ONFO,Onfolio Holdings Inc,0.106,26.25,250098467,
2026-07-31,NWL,Newell Brands Inc,6.19,20.43,21157947,
2026-07-31,SKYQ,Sky Quarry Inc,4.94,16.24,4001380,
2026-07-31,KPTI,Karyopharm Therapeutics,2.35,-66.48,5837715,
2026-07-31,BIOA,BioAge Labs Inc,10.06,-59.52,2676255,
2026-07-31,NUWE,Nuwellis Inc,1.83,-58.88,4256596,
2026-07-31,DFNS,T3 Defense Inc,38.0,-55.28,2057359,
2026-07-31,MBRX,Moleculin Biotech Inc,0.489,-52.06,2433064,
2026-07-31,MYGN,Myriad Genetics Inc,3.21,-40.22,2428768,
2026-07-31,CYCU,Cycurion Inc,1.03,-36.02,123042162,
2026-07-31,GLUE,Monte Rosa Therapeutics,15.43,-31.97,2241804,
2026-07-31,RBLX,Roblox Corp,34.52,-29.07,20354191,
2026-07-31,GCTK,GlucoTrack Inc,0.566,-27.47,10868568,
2026-07-31,VCYT,Veracyte Inc,44.0,-26.4,1497035,
2026-07-31,CERS,Cerus Corp,2.14,-25.95,1779727,
