date,ticker,company,entry_price,change_pct_at_entry,volume,notes
2026-07-30,AAOG,Leverage Shares 2X Long AAOI Daily ETF,2.11,34.39,1152214,ETF
2026-07-30,ARAY,Accuray Inc,0.24,6.02,2063449,
2026-07-30,AXTX,Tradr 2X Long AXTI Daily ETF,4.33,43.85,4548251,ETF
2026-07-30,CAPR,Capricor Therapeutics Inc,3.09,-53.53,12279067,
2026-07-30,CBRG,Leverage Shares 2X Long CBRS Daily ETF,4.07,34.55,9280077,ETF
2026-07-30,CISS,C3is Inc,0.13,-2.18,66198813,
2026-07-30,CRWU,T-REX 2X Long CRWV Daily Target ETF,2.98,44.66,6822629,ETF
2026-07-30,CYCU,Cycurion Inc,0.48,78.5,155744461,
2026-07-30,DAMD,Defiance Daily Target 2X Short AMD ETF,1.54,-31.33,22343338,ETF
2026-07-30,DCX,Digital Currency X Technology Inc,1.25,15.74,5104600,
2026-07-30,DGNX,Diginex Ltd,1.78,15.16,5242058,
2026-07-30,GCTK,GlucoTrack Inc,0.36,26.77,52233941,
2026-07-30,GMEX,GMEX Robotics Corp,1.5,17.29,5191298,
2026-07-30,GVH,Globavend Holdings Ltd,1.12,23.63,2642452,
2026-07-30,INO,Inovio Pharmaceuticals Inc,0.59,-43.4,18340140,
2026-07-30,INVZ,Innoviz Technologies Ltd,0.43,12.26,2424344,
2026-07-30,LBGJ,Li Bang International Corp Inc,0.02,-27.5,60300014,
2026-07-30,LUNG,Pulmonx Corp,1.73,38.0,2646967,
2026-07-30,MDXG,Mimedx Group Inc,3.95,-6.5,1591665,
2026-07-30,MGRX,Mangoceuticals Inc,0.38,-32.13,8496948,
