date,ticker,company,price,change_pct,volume,notes
2026-07-30,APLD,Applied Digital Corp,28.03,20.71,11289118,
2026-07-30,BTDR,Bitdeer Technologies Group,10.66,19.78,5267315,
2026-07-30,CLSK,Cleanspark Inc,14.45,20.36,11092162,
2026-07-30,CORZ,Core Scientific Inc,22.16,22.27,10920992,
2026-07-30,DCX,Digital Currency X Technology Inc,1.24,14.84,5113663,
2026-07-30,FMC,FMC Corp,11.44,14.26,3380360,
2026-07-30,GCTK,GlucoTrack Inc,0.36,25.26,52261687,
2026-07-30,IREN,IREN Ltd,37.25,27.09,29643160,
2026-07-30,NBIS,Nebius Group NV,193.91,30.83,19042581,
2026-07-30,NUWE,Nuwellis Inc,4.09,116.67,85334911,
2026-07-30,OWL,Blue Owl Capital Inc,9.95,4.19,9970339,
2026-07-30,SEI,Solaris Energy Infrastructure Inc,51.49,18.59,1741957,
2026-07-30,TE,T1 Energy Inc,4.33,16.4,35545395,
2026-07-30,WULF,TeraWulf Inc,17.88,18.49,15594859,
2026-07-30,XRX,Xerox Holdings Corp,3.7,40.34,14699709,
