date,ticker,company,entry_price,change_pct_at_entry,volume,notes
2026-07-30,NUWE,Nuwellis Inc,4.1,116.93,85162301,
2026-07-30,NBIL,GraniteShares 2x Long NBIS Daily ETF,21.75,62.9,4969336,ETF
2026-07-30,NEBX,Tradr 2X Long NBIS Daily ETF,22.45,62.45,4197230,ETF
2026-07-30,NBIG,Leverage Shares 2X Long NBIS Daily ETF,15.05,62.35,2794752,ETF
2026-07-30,BEX,Tradr 2X Long BE Daily ETF,24.22,61.47,4159393,ETF
2026-07-30,BEG,Leverage Shares 2x Long BE Daily ETF,33.88,59.14,705628,ETF
2026-07-30,PN,PN Smart Energy Ltd,16.62,55.02,5082022,
2026-07-30,IREX,Tradr 2X Long IREN Daily ETF,12.87,54.87,1394131,ETF
2026-07-30,DFNS,T3 Defense Inc,77.39,54.1,4004453,
2026-07-30,IRE,Defiance Daily Target 2X Long IREN ETF,9.08,53.88,8149987,ETF
2026-07-30,IREG,Leverage Shares 2X Long IREN Daily ETF,7.24,53.65,1116513,ETF
2026-07-30,SNDU,T-REX 2X Long SNDK Daily Target ETF,15.76,46.51,16627542,ETF
2026-07-30,STKH,Steakholder Foods Ltd ADR,3.96,46.02,16684220,
2026-07-30,SNDG,Leverage Shares 2X Long SNDK Daily ETF,6.24,45.45,6919155,ETF
2026-07-30,CWVX,Tradr 2X Long CRWV Daily ETF,12.94,45.23,1377361,ETF
2026-07-30,AXTX,Tradr 2X Long AXTI Daily ETF,4.37,45.18,4529520,ETF
2026-07-30,SNXX,Tradr 2X Long SNDK Daily ETF,10.01,45.07,110367497,ETF
2026-07-30,CRWU,T-REX 2X Long CRWV Daily Target ETF,2.97,44.11,6774394,ETF
2026-07-30,CRWG,Leverage Shares 2X Long CRWV Daily ETF,15.55,43.85,1479548,ETF
2026-07-30,APLX,Tradr 2X Long APLD Daily ETF,10.24,40.99,1610192,ETF
