"code","count"
"cap_largeover","938"
"cap_midover","2106"
"cap_small","1595"
"earnings_date_prevweek","11525"
"fa_curratio_o2","2387"
"fa_curratio_o3","1612"
"fa_debteq_u0.1","1507"
"fa_debteq_u0.5","2765"
"fa_div_o2","3746"
"fa_div_o3","2822"
"fa_eps5years_o15","1375"
"fa_eps5years_o20","1113"
"fa_eps5years_pos","2375"
"fa_epsqoq_o20","2528"
"fa_epsyoy1_o25","1481"
"fa_epsyoy_o30","1432"
"fa_estltgrowth_o15","1270"
"fa_fpe_u15","1605"
"fa_grossmargin_o30","2381"
"fa_grossmargin_o40","1792"
"fa_netmargin_o10","1477"
"fa_netmargin_o20","696"
"fa_opermargin_pos","3043"
"fa_payoutratio_u50","2244"
"fa_payoutratio_u60","2388"
"fa_pb_u1","1322"
"fa_pc_u3","1246"
"fa_pe_u10","566"
"fa_pe_u15","1178"
"fa_pe_u20","1614"
"fa_peg_u1","898"
"fa_ps_u10","4131"
"fa_roa_o10","598"
"fa_roa_o20","162"
"fa_roe_o15","1065"
"fa_roi_pos","2895"
"fa_sales5years_o20","970"
"fa_sales5years_o25","733"
"fa_sales5years_pos","3462"
"fa_salesqoq_o20","1245"
"fa_salesqoq_o30","887"
"idx_sp500","503"
"ipodate_more6","11525"
"sh_avgvol_o1000","2831"
"sh_avgvol_o400","4233"
"sh_curvol_o1000","24"
"sh_curvol_o200","81"
"sh_curvol_o2000","12"
"sh_curvol_o50","214"
"sh_curvol_o500","38"
"sh_float_u20","1923"
"sh_float_u50","3290"
"sh_insiderown_o10","2970"
"sh_insiderown_pos","11525"
"sh_insidertrans_buy","11525"
"sh_insidertrans_pos","972"
"sh_instown_o10","4662"
"sh_instown_o40","3252"
"sh_instown_o50","2875"
"sh_insttrans_o5","1015"
"sh_insttrans_pos","2590"
"sh_opt_option","5931"
"sh_price_o10","8786"
"sh_price_o2","10595"
"sh_price_o20","7082"
"sh_price_o5","9792"
"sh_price_u5","1715"
"sh_relvol_o1.5","53"
"sh_relvol_o2","36"
"sh_relvol_o3","25"
"sh_short_o10","1176"
"sh_short_o20","327"
"ta_beta_o1","3443"
"ta_gap_u","1476"
"ta_gap_u4","168"
"ta_highlow52w_b0to10h","5241"
"ta_highlow52w_nh","45"
"ta_pattern_channelup","1072"
"ta_pattern_tl","11525"
"ta_perf_13wup","5350"
"ta_perf_1wdown","7220"
"ta_perf_26w10a","11525"
"ta_perf_26wup","5137"
"ta_perf_4w5a","11525"
"ta_perf_4wup","4288"
"ta_perf_52w10a","11525"
"ta_perf_52w20a","11525"
"ta_perf_52w50a","11525"
"ta_perf_52wup","5784"
"ta_perf_ddown","1120"
"ta_perf_dup","1645"
"ta_rsi_o40","11525"
"ta_rsi_o60","11525"
"ta_rsi_os20","51"
"ta_rsi_os30","690"
"ta_rsi_os40","3989"
"ta_sma200_pa","5741"
"ta_sma20_pa","3939"
"ta_sma50_cross200a","215"
"ta_sma50_pa","4405"
"ta_sma50_pb","7092"
"ta_volatility_wo5","2936"
