date,screener_id,ticker,company,entry_time,entry_price,exit_time,exit_price,return_pct,outcome
2026-07-30,low-float,ACV,Virtus Diversified Income and Convertible Fund,10:46 ET,26.7,"16:00 ET (retroactive, fetched 2026-07-31)",26.65,-0.19,loss
2026-07-30,low-float,ADXN,Addex Therapeutics Ltd ADR,10:46 ET,5.75,"16:00 ET (retroactive, fetched 2026-07-31)",5.6,-2.61,loss
2026-07-30,low-float,APAC,StoneBridge Acquisition II Corp,10:46 ET,10.19,"16:00 ET (retroactive, fetched 2026-07-31)",10.19,0.0,flat
2026-07-30,low-float,APUS,Apimeds Pharmaceuticals US Inc,10:46 ET,6.88,"16:00 ET (retroactive, fetched 2026-07-31)",4.92,-28.49,loss
2026-07-30,low-float,BOOM,DMC Global Inc,10:46 ET,6.56,"16:00 ET (retroactive, fetched 2026-07-31)",6.26,-4.57,loss
2026-07-30,low-float,BSVN,Bank7 Corp,10:46 ET,50.6,"16:00 ET (retroactive, fetched 2026-07-31)",50.0,-1.19,loss
2026-07-30,low-float,CCEL,Cryo-Cell International Inc,10:46 ET,3.6,"16:00 ET (retroactive, fetched 2026-07-31)",3.36,-6.67,loss
2026-07-30,low-float,CEPO,Cantor Equity Partners I Inc,10:46 ET,10.67,"16:00 ET (retroactive, fetched 2026-07-31)",10.67,0.0,flat
2026-07-30,low-float,CGO,Calamos Global Total Return Fund,10:46 ET,12.58,"16:00 ET (retroactive, fetched 2026-07-31)",12.64,0.48,win
2026-07-30,low-float,CYCU,Cycurion Inc,10:46 ET,0.48,"16:00 ET (retroactive, fetched 2026-07-31)",1.61,235.42,win
2026-07-30,low-float,CZFS,Citizens Financial Services Inc,10:46 ET,78.75,"16:00 ET (retroactive, fetched 2026-07-31)",76.38,-3.01,loss
2026-07-30,low-float,DCX,Digital Currency X Technology Inc,10:46 ET,1.26,"16:00 ET (retroactive, fetched 2026-07-31)",1.24,-1.59,loss
2026-07-30,low-float,DFNS,T3 Defense Inc,10:46 ET,82.01,"16:00 ET (retroactive, fetched 2026-07-31)",84.98,3.62,win
2026-07-30,low-float,DGNX,Diginex Ltd,10:46 ET,1.78,"16:00 ET (retroactive, fetched 2026-07-31)",1.8,1.12,win
2026-07-30,low-float,DMA,Destra Multi-Alternative Fund,10:46 ET,7.75,"16:00 ET (retroactive, fetched 2026-07-31)",7.54,-2.71,loss
2026-07-30,low-float,FIEE,FiEE Inc,10:46 ET,3.24,"16:00 ET (retroactive, fetched 2026-07-31)",3.04,-6.17,loss
2026-07-30,low-float,GCTK,GlucoTrack Inc,10:46 ET,0.36,"16:00 ET (retroactive, fetched 2026-07-31)",0.78,116.67,win
2026-07-30,low-float,GNLN,Greenlane Holdings Inc,10:46 ET,1.71,"16:00 ET (retroactive, fetched 2026-07-31)",1.77,3.51,win
2026-07-30,low-float,GVH,Globavend Holdings Ltd,10:46 ET,1.11,"16:00 ET (retroactive, fetched 2026-07-31)",1.02,-8.11,loss
2026-07-30,low-float,HIFS,Hingham Institution For Savings,10:46 ET,287.09,"16:00 ET (retroactive, fetched 2026-07-31)",282.98,-1.43,loss
