"id","count","pct","flag"
"gap-up-momentum","1","0","ok"
"classic-swing","411","3,6","ok"
"quality-dividend","210","1,8","ok"
"ma-bounce","357","3,1","ok"
"top-gainers","29","0,3","ok"
"unusual-volume","8","0,1","ok"
"pure-breakout","1","0","ok"
"canslim-growth","183","1,6","ok"
"deep-value","73","0,6","ok"
"magic-formula","12","0,1","ok"
"low-pe-growth","402","3,5","ok"
"oversold-bounce","62","0,5","ok"
"dividend-aristocrats","179","1,6","ok"
"high-earnings-growth","402","3,5","ok"
"revenue-growth","192","1,7","ok"
"insider-buying","2","0","ok"
"penny-stock-momentum","8","0,1","ok"
"high-momentum","1715","14,9","ok"
"post-earnings","-1","0","ERROR"
"low-float","9","0,1","ok"
"ipo-base","22","0,2","ok"
"short-squeeze","3","0","ok"
"top-losers","-1","0","ERROR"
"most-volatile","17","0,1","ok"
"golden-cross","156","1,4","ok"
"volatility-squeeze","1484","12,9","ok"
"god-like-pullback","998","8,7","ok"
"consistent-compounders","1","0","ok"
"institutional-leaders","419","3,6","ok"
"smooth-momentum","1476","12,8","ok"
"sector-leaders-recovery","129","1,1","ok"
"high-margin-moat","99","0,9","ok"
"cash-rich-small-caps","83","0,7","ok"
"institutional-whale-trail","139","1,2","ok"
"resilient-rebounder","-1","0","ERROR"
"institutional-shadow","-1","0","ERROR"
"finviz-magic-formula","43","0,4","ok"
"consistent-growth-momentum","88","0,8","ok"
"stressed-healthy-rebound","-1","0","ERROR"
"income-stability","26","0,2","ok"
